createdAt,code,codeType,attributor,userId,username,action,amount,commissionPercent,country
2026-08-07T12:11:14.062Z,ROKIT,affiliate,primary,urn:prp-user:52HYdphL36s7,SoundCentipede#9510,signup,,15.00,IN
2026-08-03T17:59:58.899Z,ROKIT,affiliate,primary,urn:prp-user:56fGyPrCCrzv,OrthodoxRooster#1109,signup,,15.00,NG
2026-07-21T16:55:35.787Z,ROKIT,affiliate,primary,urn:prp-user:fSVm5HCeJztB,CausalHookworm#5637,signup,,15.00,SN
2026-07-13T08:17:11.709Z,ADBs3Qpn,referral,primary,urn:prp-user:vXN5MrpHf1vz,SecretoDefi,purchase,110.00,15.00,ES
2026-07-04T19:10:11.438Z,ROKIT,affiliate,primary,urn:prp-user:ALCzU96T5xuk,StupidBooby#6084,signup,,15.00,MX
2026-06-28T00:43:26.786Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,0.00,15.00,ES
2026-06-26T04:52:33.098Z,ROKIT,affiliate,primary,urn:prp-user:UF92cGXpRcwz,ShaggyFirefly#1507,purchase,245.00,15.00,PL
2026-06-26T04:43:34.076Z,ROKIT,affiliate,primary,urn:prp-user:UF92cGXpRcwz,ShaggyFirefly#1507,signup,,15.00,PL
2026-06-25T16:14:10.352Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,275.00,15.00,ES
2026-06-25T16:11:46.031Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,275.00,15.00,ES
2026-06-25T15:03:05.815Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,275.00,15.00,ES
2026-06-23T09:54:03.185Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,275.00,15.00,ES
2026-06-22T14:14:17.306Z,ADBs3Qpn,referral,primary,urn:prp-user:Yg6Fnvxn5yhR,YouthfulSalmon#8245,purchase,0.00,15.00,PH
2026-06-18T11:05:30.018Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,110.00,15.00,ES
2026-06-15T17:34:19.796Z,ADBs3Qpn,referral,primary,urn:prp-user:Yg6Fnvxn5yhR,YouthfulSalmon#8245,purchase,0.00,15.00,PH
2026-06-15T08:38:20.135Z,ADBs3Qpn,referral,primary,urn:prp-user:8op1D98hHfjD,One,purchase,999.00,15.00,PH
2026-06-15T08:36:06.151Z,ADBs3Qpn,referral,primary,urn:prp-user:8op1D98hHfjD,One,purchase,999.00,15.00,PH
2026-06-15T00:17:17.105Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,275.00,15.00,ES
2026-06-15T00:15:22.981Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,275.00,15.00,ES
2026-06-12T08:56:02.625Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,275.00,15.00,ES
2026-06-11T12:03:06.355Z,ADBs3Qpn,referral,primary,urn:prp-user:LAMQ6e52TmtA,BreezyPlatypus#6305,purchase,0.00,15.00,AR
2026-06-10T20:30:28.242Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,396.00,15.00,ES
2026-06-10T08:47:02.572Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,396.00,15.00,ES
2026-06-10T07:37:33.291Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,396.00,15.00,ES
2026-06-09T12:41:33.936Z,ADBs3Qpn,referral,primary,urn:prp-user:uNDxuSFWoU8x,PleasedTuna#6570,purchase,0.00,15.00,ES
2026-06-08T19:27:13.749Z,ADBs3Qpn,referral,primary,urn:prp-user:uNDxuSFWoU8x,PleasedTuna#6570,purchase,0.00,15.00,ES
2026-06-06T17:29:36.488Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,0.00,15.00,ES
2026-06-06T08:14:31.336Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,275.00,15.00,ES
2026-06-04T13:32:11.470Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,0.00,15.00,ES
2026-06-04T12:13:30.712Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,0.00,15.00,ES
2026-06-04T10:28:14.699Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,275.00,15.00,ES
2026-06-04T10:26:51.136Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,495.00,15.00,ES
2026-06-04T01:45:15.096Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,0.00,15.00,ES
2026-06-03T13:39:14.446Z,ADBs3Qpn,referral,primary,urn:prp-user:cigWVVppABYC,OutstandingHorse#6582,purchase,60.00,15.00,ES
2026-06-02T15:05:36.611Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,0.00,15.00,ES
2026-06-02T10:08:20.771Z,ADBs3Qpn,referral,primary,urn:prp-user:ojC1KJdjCKde,tomibaa,purchase,110.00,15.00,AR
2026-06-02T09:47:35.280Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,275.00,15.00,ES
2026-06-02T09:01:20.752Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,420.75,15.00,ES
2026-06-01T19:48:11.547Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,233.75,15.00,ES
2026-06-01T19:46:14.731Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,233.75,15.00,ES
2026-05-31T23:09:01.863Z,ROKIT,affiliate,primary,urn:prp-user:ckbQHAw96WeG,TeenagePelican#3109,signup,,15.00,NG
2026-05-31T22:59:40.987Z,ROKIT,affiliate,primary,urn:prp-user:pBt1KC7PCe2i,CivicKoala#5673,purchase,0.00,15.00,CH
2026-05-31T22:58:59.033Z,ROKIT,affiliate,primary,urn:prp-user:pBt1KC7PCe2i,CivicKoala#5673,signup,,15.00,CH
2026-05-30T15:23:18.541Z,ADBs3Qpn,referral,primary,urn:prp-user:vXN5MrpHf1vz,SecretoDefi,purchase,60.00,15.00,ES
2026-05-30T09:15:33.241Z,ADBs3Qpn,referral,primary,urn:prp-user:ojC1KJdjCKde,tomibaa,purchase,60.00,15.00,AR
2026-05-29T19:22:18.966Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,420.75,15.00,ES
2026-05-29T18:25:22.143Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,0.00,15.00,ES
2026-05-29T18:23:52.465Z,ADBs3Qpn,referral,primary,urn:prp-user:xDr8k1KKTJxa,BasedBuilder,purchase,495.00,15.00,ES
2026-05-28T13:39:37.143Z,ROKIT,affiliate,primary,urn:prp-user:Q6wt52oH54cM,IrrelevantVicuna#9784,signup,,15.00,RS
2026-05-28T12:05:10.062Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,275.00,15.00,ES
2026-05-28T12:01:42.204Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,275.00,15.00,ES
2026-05-28T11:59:11.143Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,275.00,15.00,ES
2026-05-28T11:55:51.365Z,ADBs3Qpn,referral,primary,urn:prp-user:bTUdoUjGKTMU,TamePrimate#1483,purchase,275.00,15.00,ES
2026-05-26T11:58:47.421Z,ROKIT,affiliate,primary,urn:prp-user:Z2e45zmypv2n,TOTHEHELL,purchase,60.00,15.00,ES
2026-05-22T21:31:23.361Z,ADBs3Qpn,referral,primary,urn:prp-user:8op1D98hHfjD,One,purchase,0.00,15.00,PH
2026-05-22T20:30:06.406Z,ADBs3Qpn,referral,primary,urn:prp-user:8op1D98hHfjD,One,signup,,15.00,PH
2026-05-21T10:37:49.454Z,ROKIT,affiliate,primary,urn:prp-user:Z2e45zmypv2n,TOTHEHELL,purchase,93.50,15.00,ES
2026-05-21T07:51:41.621Z,ADBs3Qpn,referral,primary,urn:prp-user:YhNuBRS75CtF,UnchangedArmadillo#7179,purchase,0.00,15.00,IN
2026-05-20T22:42:11.606Z,ADBs3Qpn,referral,primary,urn:prp-user:LAMQ6e52TmtA,BreezyPlatypus#6305,signup,,15.00,AR
2026-05-20T14:12:47.112Z,ROKIT,affiliate,primary,urn:prp-user:Z2e45zmypv2n,TOTHEHELL,purchase,51.00,15.00,ES
2026-05-20T12:17:38.620Z,ROKIT,affiliate,primary,urn:prp-user:Z2e45zmypv2n,TOTHEHELL,signup,,15.00,ES
2026-05-20T00:45:50.570Z,ADBs3Qpn,referral,primary,urn:prp-user:i4U8ehhRTFGm,TragicChipmunk#1492,purchase,0.00,15.00,SG
2026-05-20T00:44:48.548Z,ADBs3Qpn,referral,primary,urn:prp-user:i4U8ehhRTFGm,TragicChipmunk#1492,purchase,0.00,15.00,SG
2026-05-19T23:54:41.954Z,ADBs3Qpn,referral,primary,urn:prp-user:i4U8ehhRTFGm,TragicChipmunk#1492,signup,,15.00,SG
2026-05-19T05:59:51.854Z,ROKIT,affiliate,primary,urn:prp-user:rJRwC6EMt4zX,RegularCentipede#4108,purchase,0.00,15.00,CA
2026-05-19T05:59:00.059Z,ROKIT,affiliate,primary,urn:prp-user:rJRwC6EMt4zX,RegularCentipede#4108,signup,,15.00,CA
